dataset_key	pattern_layer	category	extraction_pattern	registry_prefix	mapping_type	mapping_source	registry_status	registry_name	registry_pattern	registry_deprecated	current_uri	review_note
lipidmaps	safe	Lipid	\b(?P<id>LM(?:FA|GL|GP|SP|ST|PR|SL|PK)[0-9]{4}(?:[0-9a-zA-Z]{4,6})?)\b	lipidmaps	direct	registry_prefix_match	found	LIPID MAPS	^LM(FA|GL|GP|SP|ST|PR|SL|PK)[0-9]{4}([0-9a-zA-Z]{4,6})?$	False	http://identifiers.org/lipidmaps/	
lncbook_gene	safe	Gene	\b(?P<id>HSALNG[0-9]{7})\b	lncbook	direct	reviewed_override	found	LncBook	^HSALNG\d{7}$	False	http://identifiers.org/lncbook/	
lrg	safe	Gene	\b(?P<id>LRG_\d+)\b	lrg	direct	registry_prefix_match	found	Locus Reference Genomic	^LRG_\d+$	False	http://identifiers.org/lrg/	
meddra	safe	Phenotype	\b(?:(?:MedDRA|meddra):)(?P<id>\d+)\b	meddra	direct	registry_prefix_match	found	MedDRA	^\d+$	False	http://identifiers.org/meddra/	
mgi_allele	safe	Variant	\b(?:MGI|mgi):(?P<id>\d{5,})\b	mgi	split	reviewed_override	found	Mouse Genome Database	^MGI:\d+$	False	http://identifiers.org/mgi/	
mgi_gene	safe	Gene	\b(?:MGI|mgi):(?P<id>\d{5,})\b	mgi	direct	explicit_pattern_uri	found	Mouse Genome Database	^MGI:\d+$	False	http://identifiers.org/mgi/MGI:	
mgi_genotype	safe	Genotype	\b(?:MGI|mgi):(?P<id>\d{5,})\b	mgi	split	reviewed_override	found	Mouse Genome Database	^MGI:\d+$	False	http://identifiers.org/mgi/	
mirbase	safe	Transcript	\b(?P<id>MI\d{7})\b	mirbase	direct	registry_prefix_match	found	miRBase Sequence	^MI\d{7}$	False	http://identifiers.org/mirbase/	
mirbase_mature	safe	Transcript	\b(?P<id>MIMAT\d{7})\b	mirbase.mature	direct	reviewed_override	found	miRBase mature sequence	^MIMAT\d{7}$	False	http://identifiers.org/mirbase.mature/	
mondo	safe	Phenotype	\bMONDO[:_](?P<id>\d{7})\b	mondo	direct	registry_prefix_match	found	Mondo Disease Ontology	^\d{7}$	False	http://identifiers.org/mondo/	
